;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;genre
270;0.531;0.366;5;-11.697;0;0.0496;0.911;0.88;0.0916;0.785;81.867;jazz
271;0.384;0.125;3;-14.545;1;0.0413;0.943;0.439;0.265;0.221;66.978;jazz
272;0.553;0.0902;2;-21.491;1;0.043;0.984;0.91;0.1;0.289;89.369;jazz
273;0.488;0.0527;5;-27.331;1;0.0478;0.971;0.911;0.0882;0.193;49.689;jazz
274;0.358;0.452;1;-13.02;1;0.0347;0.991;0.864;0.14;0.525;166.973;jazz
275;0.593;0.103;10;-14.961;1;0.081;0.986;0.6;0.12;0.443;66.283;jazz
276;0.356;0.0937;8;-16.64;0;0.0353;0.957;0.096;0.209;0.278;86.669;jazz
277;0.609;0.496;5;-8.59;0;0.0475;0.802;0.227;0.168;0.457;130.801;jazz
278;0.335;0.0525;10;-21.434;0;0.0352;0.965;0.412;0.0893;0.191;110.773;jazz
279;0.615;0.204;7;-16.075;1;0.0439;0.872;0.382;0.071;0.496;96.47;jazz
280;0.561;0.346;0;-12.596;0;0.0409;0.873;0.399;0.104;0.697;93.689;jazz
281;0.454;0.26;8;-13.193;0;0.0401;0.539;0.00078;0.0675;0.598;174.322;jazz
282;0.483;0.364;9;-10.78;0;0.0265;0.564;0.299;0.0542;0.349;98.445;jazz
